model,symbol,feature_set,label_scheme,horizon,seed,n_features,n_params,test_accuracy,test_macro_f1,test_weighted_f1,test_mcc,train_time_s
biconvmambalob,BANKNIFTY,all,A,100,0,66,209210,0.5124,0.4003,0.5362,0.2766,
bimambalob,BANKNIFTY,all,A,100,0,66,135235,0.5834,0.4551,0.6152,0.3057,
convmambalob,BANKNIFTY,all,A,100,0,66,143930,0.5304,0.4449,0.5955,0.3116,
mambalob,BANKNIFTY,all,A,100,0,66,69955,0.5843,0.4479,0.6068,0.2832,
biconvmambalob,NIFTY,all,A,10,0,66,209210,0.5479,0.525,0.5461,0.3052,
biconvmambalob,NIFTY,all,A,100,0,66,209210,0.6094,0.4758,0.6262,0.3394,
bimambalob,NIFTY,all,A,10,0,66,135235,0.5374,0.5085,0.5319,0.2875,
bimambalob,NIFTY,all,A,100,0,66,135235,0.6302,0.4663,0.63,0.3331,
convmambalob,NIFTY,all,A,10,0,66,143930,0.5379,0.5252,0.5422,0.3009,
convmambalob,NIFTY,all,A,100,0,66,143930,0.6015,0.4761,0.6264,0.339,
mambalob,NIFTY,all,A,10,0,66,69955,0.5387,0.5187,0.5388,0.2948,
mambalob,NIFTY,all,A,100,0,66,69955,0.6226,0.4775,0.6347,0.3429,
tlob,NIFTY,all,A,10,0,66,1816528,0.5988,0.5845,0.6052,0.3958,
tlob,NIFTY,all,A,100,0,66,1816528,0.7037,0.5375,0.7138,0.4764,
