model,symbol,horizon,n_params,best_epoch,epochs_run,best_val_f1,test_wf1,test_mf1,test_acc,baseline_majority_wf1,baseline_stat_wf1,baseline_random_wf1,train_time_s,train_size,val_size,test_size
deeplob,NIFTY-MAY-FUT,10,191351,1,4,0.4097,0.3932,0.3921,0.4039,0.1825,0.1397,0.3314,439.8,465285,51601,111448
deeplob,NIFTY-MAY-FUT,20,191351,1,4,0.4769,0.3947,0.3783,0.3979,0.222,0.0817,0.3358,435.5,465285,51591,111438
deeplob,BANKNIFTY-MAY-FUT,10,191351,1,4,0.4306,0.4088,0.4074,0.4162,0.1823,0.1823,0.335,437.3,462800,51325,111181
deeplob,BANKNIFTY-MAY-FUT,20,191351,1,4,0.441,0.3222,0.3274,0.3365,0.2201,0.0795,0.3406,445.6,462800,51315,111171
mlplob,NIFTY-MAY-FUT,10,529411,1,4,0.2057,0.1825,0.1733,0.3512,0.1825,0.1397,0.3314,108.4,465285,51601,111448
mlplob,NIFTY-MAY-FUT,20,529411,5,8,0.5104,0.4151,0.3813,0.4677,0.222,0.0817,0.3358,181.7,465285,51591,111438
mlplob,BANKNIFTY-MAY-FUT,10,529411,15,18,0.4489,0.4421,0.4436,0.4444,0.1823,0.1823,0.335,390.9,462800,51325,111181
mlplob,BANKNIFTY-MAY-FUT,20,529411,7,10,0.4976,0.3201,0.2775,0.4294,0.2201,0.0795,0.3406,225.1,462800,51315,111171
mambalob,NIFTY-MAY-FUT,10,99267,2,5,0.4361,0.3887,0.3813,0.4116,0.1825,0.1397,0.3314,76427.9,465285,51601,111448
mambalob,NIFTY-MAY-FUT,20,99267,1,4,0.4651,0.3317,0.3074,0.4015,0.222,0.0817,0.3358,2930.3,465285,51591,111438
